event_time,prev_label,target_time,event_to_target_h,label_to_target_h,ec0,ec1,ec_delta,salt_event_mass,event_irr,event_conc,before_sep21
2025-07-27 11:00:00,2025-07-24 15:10:00,2025-07-27 14:10:00,3.1666666666666665,71.0,0.5503,0.3771,-0.17320000000000002,325.54999999999995,100.0,3.223267326732673,True
2025-07-31 09:00:00,2025-07-30 08:30:00,2025-07-31 12:00:00,3.0,27.5,0.9185,0.4112,-0.5073,325.54999999999995,100.0,3.223267326732673,True
2025-08-04 09:00:00,2025-08-03 14:10:00,2025-08-04 09:20:00,0.3333333333333333,19.166666666666668,0.8713,0.956,0.0847,325.54999999999995,100.0,3.223267326732673,True
2025-08-06 08:30:00,2025-08-05 14:10:00,2025-08-06 10:00:00,1.5,19.833333333333332,2.47,1.045,-1.4250000000000003,325.54999999999995,100.0,3.223267326732673,True
2025-08-07 08:30:00,2025-08-06 16:30:00,2025-08-07 10:00:00,1.5,17.5,2.25,2.36,0.10999999999999988,325.54999999999995,100.0,3.223267326732673,True
2025-08-14 12:30:00,2025-08-13 11:20:00,2025-08-14 16:20:00,3.8333333333333335,29.0,2.13,2.52,0.3900000000000001,325.54999999999995,100.0,3.223267326732673,True
2025-08-19 08:30:00,2025-08-18 14:40:00,2025-08-19 12:30:00,4.0,21.833333333333332,2.93,1.752,-1.1780000000000002,325.54999999999995,100.0,3.223267326732673,True
2025-08-20 12:00:00,2025-08-19 17:30:00,2025-08-20 12:20:00,0.3333333333333333,18.833333333333332,1.354,0.8451,-0.5089000000000001,325.54999999999995,100.0,3.223267326732673,True
2025-08-21 13:00:00,2025-08-20 12:20:00,2025-08-21 15:00:00,2.0,26.666666666666668,0.8451,0.82782,-0.017279999999999962,651.0999999999999,700.0,0.9288159771754635,True
2025-08-25 12:00:00,2025-08-25 09:00:00,2025-08-25 16:00:00,4.0,7.0,0.327,0.327,0.0,424.54999999999995,200.0,2.1121890547263678,True
2025-08-26 08:30:00,2025-08-25 16:00:00,2025-08-26 12:00:00,3.5,20.0,0.327,0.266,-0.061,325.54999999999995,100.0,3.223267326732673,True
2025-08-27 08:30:00,2025-08-26 16:30:00,2025-08-27 11:40:00,3.1666666666666665,19.166666666666668,0.314,0.181,-0.133,325.54999999999995,100.0,3.223267326732673,True
2025-08-31 08:30:00,2025-08-31 08:20:00,2025-08-31 12:30:00,4.0,4.166666666666667,0.18,0.167,-0.012999999999999984,325.54999999999995,100.0,3.223267326732673,True
2025-09-01 08:30:00,2025-08-31 12:30:00,2025-09-01 12:30:00,4.0,24.0,0.167,0.306,0.13899999999999998,325.54999999999995,100.0,3.223267326732673,True
2025-09-03 08:30:00,2025-09-02 15:00:00,2025-09-03 09:00:00,0.5,18.0,0.299,0.301,0.0020000000000000018,325.54999999999995,100.0,3.223267326732673,True
2025-09-07 08:30:00,2025-09-03 15:20:00,2025-09-07 08:50:00,0.3333333333333333,89.5,0.308,0.334,0.026000000000000023,325.54999999999995,100.0,3.223267326732673,True
2025-09-08 08:30:00,2025-09-07 15:30:00,2025-09-08 09:30:00,1.0,18.0,0.1548,0.326,0.17120000000000002,325.54999999999995,100.0,3.223267326732673,True
2025-09-10 08:30:00,2025-09-10 07:50:00,2025-09-10 11:30:00,3.0,3.6666666666666665,0.342,0.292,-0.050000000000000044,325.54999999999995,100.0,3.223267326732673,True
2025-09-11 08:30:00,2025-09-11 07:50:00,2025-09-11 11:20:00,2.8333333333333335,3.5,0.336,0.17,-0.166,325.54999999999995,100.0,3.223267326732673,True
2025-09-14 08:30:00,2025-09-11 18:10:00,2025-09-14 11:30:00,3.0,65.33333333333333,0.349,0.286,-0.063,325.54999999999995,100.0,3.223267326732673,True
2025-09-14 08:30:00,2025-09-11 18:10:00,2025-09-14 12:20:00,3.8333333333333335,66.16666666666667,0.349,0.316,-0.032999999999999974,325.54999999999995,100.0,3.223267326732673,True
2025-09-15 08:30:00,2025-09-15 08:10:00,2025-09-15 12:00:00,3.5,3.8333333333333335,0.198,0.321,0.123,325.54999999999995,100.0,3.223267326732673,True
2025-09-16 08:30:00,2025-09-16 06:40:00,2025-09-16 08:50:00,0.3333333333333333,2.1666666666666665,0.358,0.183,-0.175,325.54999999999995,100.0,3.223267326732673,True
2025-09-16 08:30:00,2025-09-16 06:40:00,2025-09-16 10:00:00,1.5,3.3333333333333335,0.358,0.414,0.055999999999999994,325.54999999999995,100.0,3.223267326732673,True
2025-09-16 08:30:00,2025-09-16 06:40:00,2025-09-16 12:10:00,3.6666666666666665,5.5,0.358,0.302,-0.055999999999999994,325.54999999999995,100.0,3.223267326732673,True
2025-09-17 08:30:00,2025-09-16 13:50:00,2025-09-17 08:50:00,0.3333333333333333,19.0,0.309,0.215,-0.094,325.54999999999995,100.0,3.223267326732673,True
2025-09-17 08:30:00,2025-09-16 13:50:00,2025-09-17 11:50:00,3.3333333333333335,22.0,0.309,0.128,-0.181,325.54999999999995,100.0,3.223267326732673,True
2025-09-18 08:00:00,2025-09-18 07:10:00,2025-09-18 09:40:00,1.6666666666666667,2.5,0.47,0.795,0.32500000000000007,325.54999999999995,100.0,3.223267326732673,True
2025-09-18 08:00:00,2025-09-18 07:10:00,2025-09-18 10:30:00,2.5,3.3333333333333335,0.47,0.968,0.498,325.54999999999995,100.0,3.223267326732673,True
2025-09-18 08:00:00,2025-09-18 07:10:00,2025-09-18 12:00:00,4.0,4.833333333333333,0.47,0.98,0.51,325.54999999999995,100.0,3.223267326732673,True
2025-09-18 10:30:00,2025-09-18 09:40:00,2025-09-18 12:00:00,1.5,2.3333333333333335,0.795,0.98,0.18499999999999994,325.54999999999995,100.0,3.223267326732673,True
2025-09-18 10:30:00,2025-09-18 09:40:00,2025-09-18 13:10:00,2.6666666666666665,3.5,0.795,0.662,-0.133,325.54999999999995,100.0,3.223267326732673,True
2025-09-18 10:30:00,2025-09-18 09:40:00,2025-09-18 14:10:00,3.6666666666666665,4.5,0.795,0.709,-0.08600000000000008,325.54999999999995,100.0,3.223267326732673,True
2025-09-18 12:40:00,2025-09-18 12:00:00,2025-09-18 13:10:00,0.5,1.1666666666666667,0.98,0.662,-0.31799999999999995,325.54999999999995,0.0,325.54999999999995,True
2025-09-18 12:40:00,2025-09-18 12:00:00,2025-09-18 14:10:00,1.5,2.1666666666666665,0.98,0.709,-0.271,325.54999999999995,0.0,325.54999999999995,True
2025-09-18 12:40:00,2025-09-18 12:00:00,2025-09-18 15:10:00,2.5,3.1666666666666665,0.98,0.68,-0.29999999999999993,325.54999999999995,0.0,325.54999999999995,True
2025-09-21 06:50:00,2025-09-21 06:30:00,2025-09-21 07:20:00,0.5,0.8333333333333334,0.501,4.23,3.7290000000000005,976.6499999999999,300.0,3.2446843853820595,False
2025-09-21 06:50:00,2025-09-21 06:30:00,2025-09-21 08:40:00,1.8333333333333333,2.1666666666666665,0.501,4.97,4.468999999999999,976.6499999999999,300.0,3.2446843853820595,False
2025-09-21 06:50:00,2025-09-21 06:30:00,2025-09-21 10:30:00,3.6666666666666665,4.0,0.501,4.52,4.018999999999999,976.6499999999999,300.0,3.2446843853820595,False
