timestamp,ph_true,ph_pred,ph_naive,gap_hours,ec_true,ec_pred,ec_naive
2025-09-01 08:30:00,9.76,9.76,9.76,0.0,0.292,0.292,0.292
2025-09-01 12:30:00,10.38,10.58674640417099,9.76,4.0,0.306,0.30343304763255885,0.292
2025-09-02 08:30:00,8.0,9.290447001457215,10.38,20.0,0.168,0.3603339547541208,0.306
2025-09-02 15:00:00,10.34,9.480428576469421,8.0,6.5,0.299,0.23641420774217714,0.168
2025-09-03 09:00:00,8.87,8.702910389900207,10.34,18.0,0.301,0.25904028810199986,0.299
2025-09-03 15:20:00,10.32,9.834999675750732,8.87,6.333333333333333,0.308,0.435065549353822,0.301
2025-09-07 08:50:00,8.25,8.590037651062012,10.32,89.5,0.334,0.24417465869060725,0.308
2025-09-07 15:30:00,10.01,9.67219853401184,8.25,6.666666666666667,0.1548,0.4746270736905755,0.334
2025-09-08 09:30:00,8.8,8.902529606819153,10.01,18.0,0.326,0.20403175635228005,0.1548
2025-09-08 13:50:00,9.76,9.310302841663361,8.8,4.333333333333333,0.156,0.29295029882157403,0.326
2025-09-09 08:30:00,7.9,8.123531470298767,9.76,18.666666666666668,0.348,0.22822133979156164,0.156
2025-09-09 14:10:00,9.9,9.6325359582901,7.9,5.666666666666667,0.3,0.2781586296821541,0.348
2025-09-09 15:40:00,9.88,10.336954021453858,9.9,1.5,0.347,0.30856761110274816,0.3
2025-09-09 18:40:00,9.33,9.071089928150178,9.88,3.0,0.161,0.24109895598213285,0.347
2025-09-10 07:50:00,7.87,7.654925661087036,9.33,13.166666666666666,0.342,0.28310415102088277,0.161
2025-09-10 11:30:00,9.5,9.077619667053224,7.87,3.6666666666666665,0.292,0.2988694550930031,0.342
2025-09-10 13:50:00,10.16,10.093720853328705,9.5,2.3333333333333335,0.303,0.32520076396034325,0.292
2025-09-10 15:50:00,10.22,10.33004418373108,10.16,2.0,0.306,0.21803014794268832,0.303
2025-09-11 07:50:00,7.81,8.389227600097657,10.22,16.0,0.336,0.28589235488672693,0.306
2025-09-11 11:20:00,9.24,9.412686405181883,7.81,3.5,0.17,0.28651550342239124,0.336
2025-09-11 13:30:00,9.39,9.743284871578217,9.24,2.1666666666666665,0.348,0.22151535221372448,0.17
2025-09-11 14:10:00,10.06,9.849086388349534,9.39,0.6666666666666666,0.325,0.23447944023887973,0.348
2025-09-11 17:20:00,9.56,9.423805055618287,10.06,3.1666666666666665,0.288,0.2127053417535217,0.325
2025-09-11 18:10:00,9.05,9.08467280626297,9.56,0.8333333333333334,0.349,0.303200302101641,0.288
2025-09-14 08:30:00,8.48,8.428299593925477,9.05,62.333333333333336,0.177,0.2469704554904526,0.349
2025-09-14 11:30:00,9.26,9.303518872261048,8.48,3.0,0.286,0.21643657114184037,0.177
2025-09-14 12:20:00,9.65,9.592278281450271,9.26,0.8333333333333334,0.316,0.25921520756863126,0.286
2025-09-14 15:10:00,9.95,9.947419607639313,9.65,2.8333333333333335,0.156,0.24704425308807199,0.316
2025-09-14 18:00:00,9.36,9.31425358057022,9.95,2.8333333333333335,0.307,0.2624388193795523,0.156
2025-09-15 08:10:00,7.92,7.78082917690277,9.36,14.166666666666666,0.198,0.2489605706413714,0.307
2025-09-15 12:00:00,9.45,9.041105790138245,7.92,3.8333333333333335,0.321,0.2895638932762129,0.198
2025-09-15 14:10:00,10.13,9.920658600330352,9.45,2.1666666666666665,0.332,0.1835167801463632,0.321
2025-09-15 15:30:00,10.2,10.19413783878088,10.13,1.3333333333333333,0.334,0.27133393892091057,0.332
2025-09-15 17:40:00,9.09,9.388988089561462,10.2,2.1666666666666665,0.383,0.26004796190391843,0.334
2025-09-16 06:40:00,7.66,7.9621340894699095,9.09,13.0,0.358,0.3819666084225261,0.383
2025-09-16 08:50:00,8.14,8.016404781341553,7.66,2.1666666666666665,0.183,0.4300596619552074,0.358
2025-09-16 10:00:00,7.94,8.554369702339173,8.14,1.1666666666666667,0.414,0.3201810091831887,0.183
2025-09-16 12:10:00,9.5,8.337917330265046,7.94,2.1666666666666665,0.302,0.3633836260978631,0.414
2025-09-16 13:50:00,9.88,9.666252627968788,9.5,1.6666666666666667,0.309,0.3827494695023804,0.302
2025-09-17 08:50:00,8.3,8.34967649459839,9.88,19.0,0.215,0.22289881385809487,0.309
2025-09-17 11:50:00,8.88,9.090289580821992,8.3,3.0,0.128,0.30653071161706236,0.215
2025-09-17 13:30:00,9.78,9.419188027381898,8.88,1.6666666666666667,0.333,0.24757162392138599,0.128
2025-09-17 15:20:00,9.85,10.064288257360458,9.78,1.8333333333333333,0.221,0.24536871494312334,0.333
2025-09-18 07:10:00,7.76,7.7943802833557125,9.85,15.833333333333334,0.47,0.3074474499682035,0.221
2025-09-18 09:40:00,6.97,8.346059446138673,7.76,2.5,0.795,0.5474890504567953,0.47
2025-09-18 10:30:00,6.71,7.321081252098083,6.97,0.8333333333333334,0.968,0.7100259224303221,0.795
2025-09-18 12:00:00,7.27,6.751453540325165,6.71,1.5,0.98,0.9475235060449253,0.968
2025-09-18 13:10:00,7.08,7.437990699410438,7.27,1.1666666666666667,0.662,0.9818395196060484,0.98
2025-09-18 14:10:00,6.65,7.2482819575071336,7.08,1.0,0.709,0.7855069350430739,0.662
2025-09-18 15:10:00,6.8,6.506410548090935,6.65,1.0,0.68,0.5649649099175219,0.709
2025-09-21 06:30:00,6.19,6.063783514499664,6.8,63.333333333333336,0.501,0.6983189123782987,0.68
2025-09-21 07:20:00,4.75,5.235653861105018,6.19,0.8333333333333334,4.23,4.588660435824759,0.501
2025-09-21 08:40:00,4.75,4.539767637848854,4.75,1.3333333333333333,4.97,4.828937213362511,4.23
2025-09-21 10:30:00,5.17,5.215439349412918,4.75,1.8333333333333333,4.52,4.431068803033169,4.97
2025-09-21 11:40:00,5.25,5.513894720077515,5.17,1.1666666666666667,4.4,4.621546891347385,4.52
2025-09-21 13:40:00,5.33,5.614254951477051,5.25,2.0,4.53,4.408464351934458,4.4
2025-09-21 15:30:00,5.4,5.675180243253708,5.33,1.8333333333333333,3.87,3.8004000207135675,4.53
